Date : 2026-01-12 05:10:08
Directory : /home/maniospas/Desktop/p4ot/smol
Total : 220 files,  23785 codes, 2467 comments, 2359 blanks, all 28611 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/bbuffer.s                            | ARM        |         13 |          2 |          3 |         18 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/buffer.s                             | ARM        |         11 |          3 |          6 |         20 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/bufferconst.s                        | ARM        |         15 |          2 |          5 |         22 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/buffergrow.s                         | ARM        |          5 |          2 |          1 |          8 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/retbuffer.s                          | ARM        |         15 |          3 |          7 |         25 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/sbuffer.s                            | ARM        |          6 |          2 |          2 |         10 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/servbuf.s                            | ARM        |          7 |          2 |          3 |         12 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/servbuf_alloc.s                      | ARM        |          7 |          3 |          2 |         12 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/buffers/shared.s                             | ARM        |         20 |          5 |          6 |         31 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/map                                          | C++        |        102 |          0 |          0 |        102 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/map.s                                        | ARM        |          8 |          4 |          3 |         15 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/cat.s                              | ARM        |          5 |          3 |          2 |         10 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/dynamic.c                          | C          |        516 |          4 |         12 |        532 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/dynamic.s                          | ARM        |         50 |          8 |         16 |         74 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/effvec.s                           | ARM        |          7 |          5 |          6 |         18 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/fail.c                             | C          |        279 |          8 |         20 |        307 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/fail.s                             | ARM        |          8 |          3 |          2 |         13 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/file.c                             | C          |        334 |          4 |         14 |        352 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/file.s                             | ARM        |         10 |          4 |          3 |         17 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/filesize.s                         | ARM        |          6 |          2 |          2 |         10 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/finally.s                          | ARM        |          9 |          5 |          3 |         17 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/map                                | C++        |         20 |          0 |          0 |         20 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/map.s                              | ARM        |          8 |          6 |          3 |         17 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/mem.s                              | ARM        |          4 |          3 |          2 |          9 |
| /home/maniospas/Desktop/p4ot/smol/tests/unit/resources/memtest.s                          | ARM        |          9 |          4 |          3 |         16 |
